Tapahtuma,Tapahtuma.1,Tyyppi1,1-Energia,X-Kulma,Y-Kulma,Z-Kulma,Transversaalinen-liike-energia,Eta,Phi,Varaus,Tyyppi2,2-Energia,X-Kulma2,Y-Kulma2,Z-Kulma2,Transversaalinen-liike-energia2,Eta2,Phi2,Varaus2,Massa[GeV],Massa(kg),Phi(deg),Phi2(deg)
165617,78244063,G,44.254,2.91879,-14.1247,41.8376,14.4231,1.7865799999999998,-1.36702,-1,G,24.5915,-0.443938,-9.59867,22.6363,9.60893,1.59228,-1.61701,1,3.73007,6.649453737405522e-27,-78.32447650996863,-92.64784843044315
165617,80519338,G,12.2029,0.1148859999999999,-9.39904,-7.78096,9.39974,-0.754217,-1.55857,1,G,13.2858,1.93133,-12.0152,-5.32996,12.1694,-0.4250649999999999,-1.41142,-1,3.87591,6.90943715140666e-27,-89.29948307569883,-80.86840912034931
165617,80423154,G,10.0546,-1.02294,1.85062,-9.82915,2.11452,-2.2410400000000004,2.07575,1,G,6.893739999999999,1.62674,-0.877685,-6.64048,1.84841,-1.99083,-0.4947729999999999,-1,3.83222,6.831552652245182e-27,118.93171432427282,-28.34840471702441
165617,80634997,G,50.9026,0.8838159999999999,-15.4196,-48.5028,15.4449,-1.86193,-1.51354,1,T,8.01626,-0.845512,-1.35669,-7.854539999999999,1.59859,-2.29531,-2.12811,-1,3.72035,6.632126263570559e-27,-86.71945412422491,-121.93172133957759
165617,81342345,G,19.8976,10.3023,10.1497,13.6657,14.4621,0.841891,0.77794,1,G,12.3031,3.83529,7.22838,9.18676,8.182839999999999,0.965521,1.0829799999999998,-1,3.5755800000000004,6.3740502978208026e-27,44.572678714404326,62.050183297073794
165617,83356460,G,9.01631,-6.79345,-5.919169999999999,0.308361,9.01042,0.034216,-2.42486,1,G,16.0419,-14.0226,-7.34115,-2.6088,15.828,-0.1640839999999999,-2.65931,-1,3.67125,6.544597563437152e-27,-138.93424391008364,-152.36723941692492
165617,84291467,G,10.8085,-0.5571510000000001,3.46491,10.2223,3.5094199999999995,1.7905099999999998,1.73023,-1,G,6.85739,2.41038,2.48677,5.91766,3.4632300000000003,1.30523,0.8009970000000001,1,3.56745,6.35955725643415e-27,99.13487658691389,45.89374750263738
165617,84922521,G,6.08256,2.62126,0.032141,5.48765,2.62146,1.48462,0.012261,-1,T,6.45277,-1.18585,0.1253,6.34075,1.19245,2.37286,3.03632,1,3.89078,6.935945334115086e-27,0.702503552609856,173.96832125115066
165617,86952586,G,8.28012,8.25803,-0.305638,-0.5106970000000001,8.26368,-0.0617609,-0.0369942,1,G,7.0706,6.2506,-2.76112,1.81342,6.83328,0.262361,-0.41596,-1,3.74732,6.680204655476829e-27,-2.11961152646273,-23.83275244626015
165617,88046056,G,15.8346,-6.4280800000000005,-1.96302,14.337,6.7211300000000005,1.50163,-2.84521,1,T,5.29411,-3.40162,0.810153,3.97355,3.49677,0.974578,2.90778,-1,3.63235,6.475252014858957e-27,-163.0185248284062,166.60352175253954
165617,89938427,G,30.2319,4.38011,8.51512,-28.6751,9.57563,-1.81673,1.0957,1,T,5.819459999999999,1.25097,0.000243519,-5.68243,1.25097,-2.21851,0.000194665,-1,3.87776,6.912735075953438e-27,62.778985612480156,0.011153482918913436
165617,96084118,G,43.237,-4.75401,6.30448,42.5097,7.89601,2.38504,2.2169,-1,G,19.7961,-3.07571,5.24113,18.84,6.07696,1.84968,2.10148,1,3.84378,6.852160224007753e-27,127.01901360254382,120.4059347311443
165617,98143919,G,11.6532,-3.4809400000000004,0.576371,-11.1057,3.52834,-1.86411,2.9775,1,G,12.48,-0.943202,3.2104,-12.0226,3.34609,-1.99097,1.85655,-1,3.6851,6.569287430990059e-27,170.5981835001914,106.37247945500597
165617,100216239,G,35.1729,8.69928,-4.37571,-33.7979,9.73777,-1.95767,-0.466042,-1,T,25.7051,8.94858,-4.56461,-23.6607,10.0455,-1.5921299999999998,-0.471689,1,3.64225,6.49290036783901e-27,-26.702239675834157,-27.02578894274451
165617,102328705,G,5.91857,1.55754,3.53577,-4.48226,3.86363,-0.990188,1.15586,-1,T,5.7675,-1.93733,3.66757,-4.00606,4.14781,-0.857001,2.05677,1,3.53272,6.2976454080505815e-27,66.22589970798698,117.84424042911458
165617,102738649,G,8.87101,1.66175,-8.59985,-1.40178,8.75892,-0.159364,-1.37992,1,G,9.79723,-0.5828909999999999,-8.68533,-4.49442,8.70486,-0.495754,-1.63781,-1,3.71443,6.621572905020869e-27,-79.06359206568736,-93.83960064431517
165617,108658526,G,17.5655,-0.5198659999999999,3.63011,17.1781,3.66715,2.24857,1.71304,1,G,12.9817,-2.83675,0.8441129999999999,12.6394,2.95968,2.15832,2.85237,-1,3.57259,6.368720138688442e-27,98.14996213708407,163.42876260971985
165617,108677081,G,22.4343,-2.19026,14.3664,-17.0908,14.5324,-1.00055,1.72209,-1,G,12.1094,0.44056,9.24273,-7.81049,9.25322,-0.7667229999999999,1.52317,1,3.56909,6.3624808219783214e-27,98.66848894167744,87.27121248093584
165617,111703509,G,70.5927,-9.70247,-14.2786,-68.4493,17.2631,-2.0862,-2.16764,1,T,3.2033400000000003,-0.7425109999999999,0.0411292,-3.11404,0.74365,-2.13921,3.08626,-1,3.5702300000000005,6.364513056563905e-27,-124.1966235037296,176.8296724800338
