group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
21a,8,8,8,7,7,6,S¹,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,6,7,7,4,4,6,6,5¹,-,-,-,-,-,2,25.0,34.0,6.74
21a,8,8,8,6,6,5,S¹,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,6,-,8,8,S¹,-,-,-,-,7,6,6,6,7,8,8,5,6,-,-,4,-,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,30.0,48.0,6.96
21a,8,8,8,6,7,7,S¹,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,8,6,8,6,7,5,5,7,7,5,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,27.0,42.0,6.77
21a,8,9,9,9,8,8,S¹,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,7,6,9,8,S¹,-,-,S¹,-,8,8,9,8,8,8,8,8,8,-,7,-,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,52.0,8.13
21a,9,8,8,7,7,7,S¹,K¹,-,-,-,9,9,6,6,6,7,K,-,-,-,-,-,9,9,7,5,5,-,-,S¹,-,-,-,8,6,6,6,5,5,5,5,5,-,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.0,52.0,6.73
21a,9,9,9,8,7,7,S¹,-,-,S¹,-,9,9,6,9,9,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,8,8,8,9,8,8,9,9,-,7,6,7¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,52.0,8.29
21a,9,9,9,6,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,5,7,5,8,8,7,5,6¹,-,S¹,-,-,-,-,24.0,33.0,7.0
21a,9,8,8,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,6,6,6,6,4,5,4,5,5,-,5,-,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,22.0,40.0,6.41
21a,9,10,10,8,-,-,-,-,-,S¹,-,9,9,5,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,7,8,7,7,7,7,7,9,6,6,7,6¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,46.0,7.73
21a,9,9,9,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,9,9,9,9,8,8,9,9,8,7,7,8¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,8.68
