group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
21a,-,-,-,-,-,-,-,-,-,-,-
21a,6,6,6,7,8,8,5,6,-,-,4
21a,6,8,6,7,5,5,7,7,5,4,5
21a,8,9,8,8,8,8,8,8,-,7,-
21a,6,6,6,5,5,5,5,5,-,-,K
21a,8,8,8,9,8,8,9,9,-,7,6
21a,-,-,-,-,-,-,-,-,-,-,-
21a,6,6,6,4,5,4,5,5,-,5,-
21a,7,8,7,7,7,7,7,9,6,6,7
21a,9,9,9,9,8,8,9,9,8,7,7
21a,9,10,9,9,9,9,10,9,9,10,8
21a,9,8,9,9,9,9,9,10,9,7,7
21a,9,7,9,9,8,8,9,9,8,6,7
21a,8,8,8,8,8,8,8,8,-,5,-
21a,-,-,-,-,-,-,-,-,-,-,-
21a,9,9,9,9,9,9,9,9,9,9,9
21a,7,7,7,9,7,7,8,8,5,6,7
21a,9,8,9,9,9,9,9,10,9,9,8
21a,-,-,-,-,-,-,-,-,-,-,-
21a,10,10,10,9,10,10,10,10,10,9,7
21a,7,7,7,7,7,7,8,7,5,7,-
21a,10,9,10,10,9,9,10,9,7,9,8
21a,7,8,7,7,5,5,5,7,-,5,-
21a,7,6,7,6,5,5,6,6,-,-,5
21a,-,-,-,-,-,-,-,-,-,-,-
21a,9,9,9,8,9,9,9,9,9,7,8
21a,9,9,9,10,9,9,9,8,-,6,7
21a,7,8,7,7,6,6,9,7,5,7,7
21a,8,8,8,7,5,5,7,6,-,-,5
