group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
21b,6,6,6,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,4,5,6,8,8,-,7,6¹,-,-,-,-,-,1,20.0,24.0,6.4
21b,7,7,7,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,7,5,5,5,5,5,5,5,7,5,6,5,4¹,5¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,25.0,38.0,6.0
21b,7,6,6,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8,6,8,9,8,8,8,8,6¹,-,-,-,-,-,-,21.0,26.0,7.13
21b,7,7,7,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,9,9,6,7,9,8,8,9,9,7,7,7,7¹,7¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,7.58
21b,7,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,8,9,8,9,9,9,5,-,-,S¹,S¹,-,-,-,22.0,28.0,7.75
21b,8,8,8,-,-,-,-,-,-,-,-,7,7,8,7,7,8,4,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,5,6,5,7,6,6,6,7,-,8,5,6¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,29.0,46.0,6.83
21b,8,8,8,-,-,-,-,-,-,-,-,9,9,7,9,9,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,7,7,8,7,7,6,6,7,9,6,8,6,7¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,44.0,7.68
21b,8,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,S¹,-,-,-,9,8,8,8,8,10,10,10,10,9,-,8,9¹,O¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,36.0,8.56
21b,8,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,5,7,4,6,6,7,7,5¹,-,-,-,-,-,1,22.0,28.0,7.06
21b,8,8,8,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,7,9,9,9,9,8,9,7¹,-,S¹,-,-,-,-,22.0,28.0,7.88
