group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
21b,7,4,5,6,8,8,-,7
21b,-,-,-,-,-,-,-,-
21b,8,6,8,9,8,8,8,8
21b,-,-,-,-,-,-,-,-
21b,6,8,9,8,9,9,9,5
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,6,5,7,4,6,6,7,7
21b,6,7,9,9,9,9,8,9
21b,4,6,8,8,8,8,8,8
21b,7,10,9,7,8,8,7,7
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,5,5,5,5,5,5,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-
21b,9,8,7,8,8,8,6,6
21b,8,4,7,7,8,8,-,-
21b,-,-,-,-,-,-,-,-
21b,8,9,9,9,8,8,8,9
21b,-,-,-,-,-,-,-,10
