group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
21c,8,8,8,8,8,8,8,7,8,7,7
21c,6,7,6,8,8,8,7,8,7,9,6
21c,7,8,7,6,O,O,6,5,4,7,O
21c,8,7,8,9,9,9,9,9,10,10,10
21c,-,-,-,-,-,-,-,-,-,-,-
21c,8,7,8,7,7,7,7,6,6,9,4
21c,8,8,8,7,8,8,8,9,-,8,9
21c,6,6,6,7,6,6,9,7,7,5,8
21c,8,9,8,8,7,7,9,8,6,8,5
21c,8,7,8,8,8,8,9,10,-,10,8
21c,8,6,8,6,6,6,5,6,-,4,-
21c,8,8,8,8,9,9,9,8,8,10,8
21c,9,9,9,8,9,9,8,9,10,10,8
21c,7,7,7,7,8,8,8,8,7,8,7
21c,9,8,9,8,8,8,8,9,7,9,8
21c,9,9,9,9,8,8,10,8,8,9,9
21c,8,7,8,8,8,8,8,8,8,9,9
21c,10,9,10,9,9,9,9,10,9,10,8
21c,9,10,9,9,9,9,7,10,K,8,K
21c,9,8,9,9,9,9,10,9,8,10,8
21c,8,9,8,8,8,8,9,9,8,7,9
21c,7,6,7,6,6,6,6,6,-,8,-
21c,8,8,8,8,7,7,6,8,6,6,6
21c,9,9,9,9,9,9,9,10,9,9,9
21c,9,9,9,10,10,10,10,9,10,10,10
21c,8,10,8,7,7,7,6,7,7,6,7
21c,8,8,8,8,7,7,7,8,6,7,5
21c,10,10,10,10,9,9,10,10,9,10,9
21c,8,7,8,7,6,6,K,6,-,K,-
21c,10,10,10,10,10,10,10,10,10,10,10
