group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
21d,5,8,8,7,-,-
21d,6,6,6,7,-,-
21d,6,7,7,-,-,-
21d,7,5,5,-,-,-
21d,7,7,7,-,-,-
21d,7,7,7,-,-,-
21d,7,7,8,-,-,-
21d,7,8,8,-,-,-
21d,7,9,9,-,-,-
21d,8,6,K,-,-,-
21d,8,8,8,-,-,-
21d,8,7,7,-,-,-
21d,8,7,7,-,-,-
21d,8,7,7,8,7,8
21d,8,8,8,-,-,-
21d,8,9,9,7,-,-
21d,8,8,8,-,-,-
21d,8,7,7,-,-,-
21d,8,9,9,-,-,-
21d,9,9,9,8,9,7
21d,9,8,8,9,8,7
21d,9,9,9,9,9,-
21d,9,9,9,9,9,8
21d,9,9,9,-,-,-
21d,9,8,8,-,-,-
21d,9,8,8,-,-,-
21d,9,8,8,-,-,-
21d,9,9,9,9,9,9
21d,9,8,8,-,-,-
21d,10,10,10,10,10,10
