group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
21d,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-
21d,5,5,6,6,7,7,6,-
21d,5,9,8,7,-,-,8,6
21d,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-
21d,4,4,K,K,-,-,-,-
21d,4,7,5,5,5,5,-,-
21d,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-
21d,4,4,6,5,7,7,5,K
21d,5,4,9,4,K,K,9,K
21d,-,-,-,-,-,-,-,-
21d,6,5,6,5,7,7,6,5
21d,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-
21d,5,6,8,6,7,7,7,-
21d,9,7,8,6,7,7,K,8
21d,6,6,5,6,7,7,6,-
21d,7,6,8,7,7,7,-,-
21d,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-
21d,8,5,7,7,7,7,-,6
21d,-,-,-,-,-,-,-,-
21d,4,5,6,5,5,5,-,-
21d,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-
21d,7,8,9,7,7,7,8,8
21d,-,-,-,-,-,-,-,-
