group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
21d,5,5,4,5,5,5,5,4,-,4,-
21d,7,7,5,5,5,5,6,6,-,4,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,7,8,7,6,8,8,7,7,7,5,5
21d,7,9,7,6,5,4,5,6,-,4,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,8,10,8,6,5,5,4,8,5,5,5
21d,7,8,7,6,O,5,7,7,-,-,-
21d,8,8,8,8,7,7,4,6,5,5,5
21d,-,-,-,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,8,6,8,6,5,5,6,6,-,-,6
21d,-,-,-,-,-,-,-,-,-,-,-
21d,8,7,8,8,6,6,8,6,6,7,6
21d,8,8,8,9,9,9,9,7,9,9,9
21d,-,-,-,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,-,-,-,-,-,-,-,-,-,-,-
21d,7,8,7,7,7,7,6,6,7,8,-
21d,8,9,8,7,9,9,8,7,9,8,8
21d,-,-,-,-,-,-,-,-,-,-,-
21d,8,8,8,8,6,6,5,7,6,8,5
21d,-,-,-,-,-,-,-,-,-,-,-
21d,7,9,7,8,7,7,6,7,7,8,4
21d,7,7,7,7,9,9,10,9,8,8,8
21d,-,-,-,-,-,-,-,-,-,-,-
21d,9,8,9,9,10,10,9,8,-,9,9
