group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
21e,7,8,8,6,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,4,7,6,6,6,-,-,-,-,-,-,-,-,1,19.0,22.0,6.93
21e,7,7,7,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,7,5,5,5,5,5,5,6¹,-,S¹,-,-,-,-,22.0,27.0,5.94
21e,7,8,7,-,-,-,-,-,-,-,-,8,8,7,4,6,6,6,4,-,O¹,-,-,8,8,6,-,-,-,-,-,-,-,-,6,5,5,5,5,4,4,5,4,-,4,K,K¹,K¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,32.0,44.0,5.83
21e,7,8,7,7,7,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,6,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,6,5,5,4,4,5,5,5¹,-,-,-,-,-,3,25.0,34.0,6.32
21e,7,8,8,8,9,8,S¹,-,-,S¹,-,9,9,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,7,5,6,5,6,5,5,7,7,-,4,-,-,-,-,-,-,S¹,S¹,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,29.0,46.0,6.85
21e,7,9,9,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,S¹,-,-,-,9,7,7,7,8,8,8,4,5,K,8,O,6¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,26.0,36.0,7.65
21e,8,6,6,-,-,-,-,-,-,-,-,7,7,-,-,-,-,6,-,-,-,-,-,8,8,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,4,7,5,6,6,-,-,-,-,-,-,-,-,1,20.0,24.0,6.4
21e,8,8,8,9,8,9,S¹,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,7,6,6,6,6,5,5,8,8,-,6,-,-,-,-,-,-,S¹,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,42.0,7.35
21e,8,8,7,-,-,-,-,-,-,-,-,8,8,7,8,6,8,5,5,-,7¹,-,-,7,7,-,-,-,-,-,-,-,-,-,7,7,8,7,8,7,7,8,8,6,6,7,6¹,7¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,52.0,7.12
21e,8,8,7,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,5,7,8,5,5,7,8,6¹,-,S¹,-,-,-,-,22.0,29.0,7.0
21e,8,8,8,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,7,7,7,8,8,8,8,8,-,6,-,6¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,34.0,7.82
21e,8,8,8,8,7,8,S¹,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,8,6,8,6,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,7,8,8,5,5,8,9,7¹,-,S¹,-,-,-,-,31.0,47.0,7.3
21e,8,8,7,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,8,6,6,8,S¹,-,S¹,-,-,8,7,8,7,6,6,6,7,8,-,7,7,6¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.0,48.0,7.18
21e,8,8,8,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8,7,5,6,6,6,K,K,5¹,-,-,-,-,-,-,21.0,22.0,7.36
21e,8,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,7,9,7,7,7,6,-,6¹,-,-,S¹,-,-,-,22.0,28.0,7.47
21e,8,8,8,-,-,-,-,-,-,-,-,8,8,8,6,6,-,-,-,-,-,-,-,9,9,7,6,8,5,S¹,S¹,S¹,S¹,-,8,8,7,8,7,7,7,8,8,7,7,5,7¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.0,62.0,7.35
21e,8,9,9,9,8,-,S¹,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,9,8,8,8,8,7,7,8,8,6,7,-,7¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,42.0,8.05
21e,8,9,9,10,9,8,S¹,-,-,-,-,5,5,9,7,8,10,9,9,-,10¹,S¹,-,9,9,-,-,-,-,-,-,S¹,-,-,9,9,9,9,10,9,9,9,10,9,9,9,10¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.0,62.0,8.68
21e,9,9,9,7,7,7,S¹,S¹,S¹,-,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,7,5,4,5,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,6,7,8,9,9,7,8,7¹,-,S¹,S¹,-,-,1,34.0,52.0,7.52
21e,9,9,9,8,6,8,S¹,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,7,7,7,7,7,7,8,7,7,8,7,6¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,46.0,7.73
21e,9,8,8,-,-,-,-,-,-,-,-,8,8,-,8,7,9,6,6,S¹,7¹,-,-,6,6,-,-,-,-,-,-,-,-,-,8,7,6,7,8,7,7,7,9,7,7,7,6¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,52.0,7.33
21e,9,9,9,8,-,-,-,-,-,-,-,8,8,7,8,8,9,7,5,-,7¹,S¹,-,9,9,8,6,7,8,S¹,-,-,-,-,9,7,8,7,7,7,7,7,7,-,7,5,7¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.0,64.0,7.59
21e,9,9,9,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,9,8,8,8,7,7,7,6,8,6,6,-,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,34.0,7.83
21e,9,9,9,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,9,8,9,9,8,8,8,7,7,9,6,8¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,8.32
21e,9,9,9,-,-,-,-,-,-,-,-,9,9,10,10,7,10,6,-,-,-,S¹,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9,7,8,7,8,8,9,8,-,-,-,-,-,-,-,26.0,36.0,8.48
21e,9,9,9,9,8,9,S¹,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,9,8,9,8,8,8,8,6,8,7,6,6,7¹,7¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,46.0,8.0
21e,9,9,9,9,8,8,S¹,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,8,8,8,7,6,6,8,7,-,8,-,8¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,42.0,8.2
21e,9,9,9,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,8,7,6,7,5,6,6,7,6,-,7,-,-,-,-,-,-,S¹,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,34.0,7.41
21e,10,10,10,9,-,9,-,-,S¹,-,-,9,9,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,9,8,9,8,8,8,8,10,7,8,8,9,7¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,44.0,8.86
