group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
21e,9,9,-,-,-,-,-,-
21e,6,6,-,-,-,-,-,-
21e,8,8,7,4,6,6,6,4
21e,9,9,-,-,-,-,-,-
21e,9,9,-,-,-,-,-,-
21e,9,9,-,-,-,-,-,-
21e,7,7,-,-,-,-,6,-
21e,9,9,-,-,-,-,-,-
21e,8,8,7,8,6,8,5,5
21e,8,8,-,-,-,-,-,-
21e,9,9,-,-,-,-,-,-
21e,7,7,-,-,-,-,-,-
21e,7,7,-,-,-,-,-,-
21e,9,9,-,-,-,-,-,-
21e,8,8,-,-,-,-,-,-
21e,8,8,8,6,6,-,-,-
21e,9,9,-,-,-,-,-,-
21e,5,5,9,7,8,10,9,9
21e,9,9,-,-,-,-,-,-
21e,9,9,-,-,-,-,-,-
21e,8,8,-,8,7,9,6,6
21e,8,8,7,8,8,9,7,5
21e,9,9,-,-,-,-,-,-
21e,8,8,-,-,-,-,-,-
21e,9,9,10,10,7,10,6,-
21e,8,8,-,-,-,-,-,-
21e,9,9,-,-,-,-,-,-
21e,8,8,-,-,-,-,-,-
21e,9,9,-,-,-,-,-,-
