group,lke01,lke02,lke03,lke04,lke05,lke06
21e,8,8,-,-,-,-
21e,6,7,-,-,-,-
21e,8,8,6,-,-,-
21e,8,8,6,-,-,-
21e,7,7,-,-,-,-
21e,8,8,-,-,-,-
21e,8,8,-,-,-,-
21e,8,8,-,-,-,-
21e,7,7,-,-,-,-
21e,8,8,-,-,-,-
21e,8,8,-,-,-,-
21e,8,8,8,6,8,6
21e,8,8,8,6,6,8
21e,8,9,-,-,-,-
21e,8,8,-,-,-,-
21e,9,9,7,6,8,5
21e,8,8,-,-,-,-
21e,9,9,-,-,-,-
21e,9,9,7,5,4,5
21e,8,8,-,-,-,-
21e,6,6,-,-,-,-
21e,9,9,8,6,7,8
21e,8,8,-,-,-,-
21e,9,9,-,-,-,-
21e,8,8,-,-,-,-
21e,8,8,-,-,-,-
21e,9,9,-,-,-,-
21e,9,9,-,-,-,-
21e,10,10,-,-,-,-
