group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
21e,6,4,7,6,6,6,-,-
21e,6,7,5,5,5,5,5,5
21e,-,-,-,-,-,-,-,-
21e,4,6,5,5,4,4,5,5
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,6,4,7,5,6,6,-,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,5,5,7,8,5,5,7,8
21e,-,-,-,-,-,-,-,-
21e,6,7,8,8,5,5,8,9
21e,-,-,-,-,-,-,-,-
21e,8,7,5,6,6,6,K,K
21e,5,7,9,7,7,7,6,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,6,6,7,8,9,9,7,8
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,9,7,8,7,8,8,9,8
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-
