group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
21e,-,-,-,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-,-,-,-
21e,5,5,5,5,4,4,5,4,-,4,K
21e,-,-,-,-,-,-,-,-,-,-,-
21e,5,6,5,6,5,5,7,7,-,4,-
21e,7,7,7,8,8,8,4,5,K,8,O
21e,-,-,-,-,-,-,-,-,-,-,-
21e,6,6,6,6,5,5,8,8,-,6,-
21e,7,8,7,8,7,7,8,8,6,6,7
21e,-,-,-,-,-,-,-,-,-,-,-
21e,7,7,7,8,8,8,8,8,-,6,-
21e,-,-,-,-,-,-,-,-,-,-,-
21e,7,8,7,6,6,6,7,8,-,7,7
21e,-,-,-,-,-,-,-,-,-,-,-
21e,-,-,-,-,-,-,-,-,-,-,-
21e,8,7,8,7,7,7,8,8,7,7,5
21e,8,8,8,8,7,7,8,8,6,7,-
21e,9,9,9,10,9,9,9,10,9,9,9
21e,-,-,-,-,-,-,-,-,-,-,-
21e,7,7,7,7,7,7,8,7,7,8,7
21e,7,6,7,8,7,7,7,9,7,7,7
21e,7,8,7,7,7,7,7,7,-,7,5
21e,8,8,8,7,7,7,6,8,6,6,-
21e,9,8,9,9,8,8,8,7,7,9,6
21e,-,-,-,-,-,-,-,-,-,-,-
21e,8,9,8,8,8,8,6,8,7,6,6
21e,8,8,8,7,6,6,8,7,-,8,-
21e,7,6,7,5,6,6,7,6,-,7,-
21e,8,9,8,8,8,8,10,7,8,8,9
