group,lke01,lke02,lke03,lke04,lke05,lke06
22a,9,9,-,-,-,-
22a,7,7,-,-,-,-
22a,9,9,-,-,-,-
22a,8,8,-,-,-,-
22a,10,10,-,-,-,-
22a,9,9,-,-,-,-
22a,8,8,9,5,6,-
22a,8,8,-,-,-,-
22a,8,8,-,-,-,-
22a,9,9,-,-,-,-
22a,9,9,6,-,-,-
22a,8,8,-,-,-,-
22a,9,9,-,-,-,-
22a,10,10,-,-,-,-
22a,8,8,-,-,-,-
22a,9,9,-,-,-,-
22a,10,10,8,8,8,-
22a,9,9,9,10,10,-
22a,9,9,-,-,-,-
22a,9,9,9,8,9,-
22a,10,10,-,-,-,-
22a,10,10,-,-,-,-
22a,10,10,9,8,8,-
22a,10,10,-,-,-,-
22a,10,10,-,-,-,-
22a,10,10,-,-,-,-
22a,9,9,8,6,9,-
22a,10,10,9,10,10,-
22a,10,10,7,8,8,-
22a,10,10,10,10,10,-
