group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
22a,8,-,-,-,-,-
22a,8,-,-,-,-,-
22a,9,7,7,-,-,-
22a,9,7,7,-,-,-
22a,9,7,7,-,-,-
22a,9,7,7,-,-,-
22a,9,9,9,9,10,-
22a,9,8,8,-,-,-
22a,9,8,8,-,-,-
22a,9,8,8,-,-,-
22a,9,9,9,9,8,-
22a,9,9,9,-,-,-
22a,9,9,9,-,-,-
22a,9,9,9,9,10,-
22a,9,8,8,-,-,-
22a,9,8,8,8,9,-
22a,9,8,8,9,8,-
22a,9,10,10,9,10,-
22a,9,10,10,-,-,-
22a,10,10,10,8,9,-
22a,10,8,8,-,-,-
22a,10,9,9,9,9,-
22a,10,9,9,10,10,-
22a,10,10,10,10,9,-
22a,10,10,10,-,-,-
22a,10,10,10,-,-,-
22a,10,10,10,9,9,-
22a,10,9,9,10,9,-
22a,10,9,9,-,-,-
22a,10,9,9,-,-,-
