group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
22b,K,-,K,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,-,-,-,K,-,-,-,-,-,-,-
22b,8,8,8,9,7,7,-,9,-,7,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,7,6,7,7,8,8,-,K,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,6,7,6,4,K,K,-,K,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,8,8,K,6,-,-,7,8,-,K,-
22b,5,7,5,5,5,5,-,6,-,-,-
22b,8,8,8,8,8,8,-,8,-,-,-
22b,6,7,6,6,7,7,-,6,-,-,-
22b,8,8,8,7,8,8,-,8,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,10,10,10,9,9,9,-,10,-,10,-
22b,8,8,8,8,9,9,-,8,-,-,-
22b,9,8,9,9,10,10,-,8,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-,-,-,-
22b,7,6,7,8,8,8,-,10,-,-,-
22b,8,9,8,8,8,8,-,9,-,-,-
22b,6,7,6,7,6,6,-,8,-,-,-
22b,8,8,8,7,9,9,-,8,-,-,-
22b,7,5,7,7,7,7,-,8,-,-,-
22b,9,9,9,8,9,9,-,10,-,-,-
22b,10,10,10,10,10,10,-,10,-,-,-
22b,9,9,9,10,10,10,-,8,-,-,10
22b,-,-,-,-,-,-,-,-,-,-,-
