group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
22d,7,7,10,9,6,8,7,-
22d,7,7,6,-,6,6,5,-
22d,7,7,-,-,-,-,-,-
22d,9,9,7,10,8,9,9,-
22d,7,7,-,-,-,-,-,-
22d,8,8,5,6,6,-,-,-
22d,7,7,7,-,6,5,-,-
22d,7,7,10,5,6,-,-,-
22d,8,8,7,10,10,7,5,-
22d,9,9,10,10,9,10,10,-
22d,8,8,8,9,6,8,6,-
22d,7,7,K,K,6,6,K,-
22d,9,9,7,8,9,10,9,-
22d,8,8,9,6,6,-,-,-
22d,8,8,6,7,7,7,7,-
22d,9,9,9,10,9,9,K,-
22d,9,9,7,7,9,8,8,-
22d,9,9,-,-,-,-,-,-
22d,8,8,8,9,8,8,8,-
22d,8,8,10,10,9,5,-,-
22d,9,9,9,9,8,10,10,-
22d,10,10,10,10,10,K,-,-
22d,9,9,9,-,-,-,-,-
22d,10,10,10,10,9,9,9,-
22d,9,9,9,9,9,8,8,-
