group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
22f,6,7,7,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,6,6,5,-,-,-,-,-,-,-,-,-,-,-,16.0,18.0,5.83
22f,7,7,7,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,7,6,O,-,-,-,-,-,-,-,-,-,-,-,16.0,18.0,6.91
22f,7,7,7,6,6,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,9,5,7,5,6,7,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,30.0,6.65
22f,7,8,8,7,9,-,-,S¹,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,7,8,7,-,-,-,-,-,-,-,-,-,-,-,19.0,24.0,7.36
22f,8,7,7,7,-,-,-,-,-,K¹,-,8,8,6,8,6,5,6,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,7,8,8,8,7,7,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,38.0,7.14
22f,8,8,8,7,6,-,-,-,-,-,-,8,8,-,K,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7,6,7,6,-,-,-,-,-,-,-,-,-,-,-,19.0,22.0,7.14
22f,8,7,7,7,6,-,-,-,-,-,-,9,9,10,10,5,-,-,-,-,-,S¹,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,7,8,8,-,-,-,-,-,-,-,-,-,-,-,22.0,30.0,7.59
22f,8,7,7,8,7,-,-,S¹,-,-,-,8,8,8,8,6,7,6,-,-,-,-,-,8,8,7,5,8,-,-,-,S¹,S¹,-,8,7,8,7,5,7,7,-,7,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.0,56.0,7.23
22f,8,9,9,8,8,-,-,-,-,S¹,-,8,8,8,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,7,8,7,8,6,8,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,36.0,7.89
22f,8,7,7,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,4,8,9,7,-,-,-,-,-,-,-,-,-,-,1,16.0,20.0,7.08
