group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
22f,5,5,-,-,-,-,-,-
22f,9,9,-,-,-,-,-,-
22f,7,7,-,-,-,-,-,-
22f,8,8,-,-,-,-,-,-
22f,8,8,6,8,6,5,6,-
22f,8,8,-,K,-,-,-,-
22f,9,9,10,10,5,-,-,-
22f,8,8,8,8,6,7,6,-
22f,8,8,8,-,-,-,-,-
22f,7,7,-,-,-,-,-,-
22f,9,9,-,-,-,-,-,-
22f,8,8,-,-,-,-,-,-
22f,8,8,-,-,-,-,-,-
22f,8,8,-,K,-,-,-,-
22f,7,7,-,-,-,-,-,-
22f,7,7,-,-,-,-,-,-
22f,9,9,-,-,-,-,-,-
22f,8,8,-,-,-,-,-,-
22f,9,9,-,-,-,-,-,-
22f,9,9,-,-,-,-,-,-
22f,9,9,8,6,6,-,-,-
22f,7,7,4,8,-,-,-,-
22f,9,9,8,-,-,-,-,-
22f,9,9,K,-,-,-,-,-
22f,9,9,-,-,-,-,-,-
22f,8,8,8,7,7,8,8,-
22f,8,8,-,-,-,-,-,-
22f,8,8,7,5,-,-,-,-
22f,-,-,-,-,-,-,8,-
22f,-,-,-,-,-,-,5,-
