group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
22f,6,7,7,-,-,-
22f,7,7,7,-,-,-
22f,7,7,7,6,6,-
22f,7,8,8,7,9,-
22f,8,7,7,7,-,-
22f,8,8,8,7,6,-
22f,8,7,7,7,6,-
22f,8,7,7,8,7,-
22f,8,9,9,8,8,-
22f,8,7,7,-,-,-
22f,8,8,8,7,8,-
22f,8,8,8,8,9,-
22f,8,7,7,-,-,-
22f,8,8,8,8,-,-
22f,8,8,8,9,-,-
22f,8,7,7,-,-,-
22f,8,8,8,-,-,-
22f,8,9,9,7,9,-
22f,8,9,9,-,-,-
22f,8,9,9,-,-,-
22f,8,9,9,9,9,-
22f,9,7,7,5,-,-
22f,9,8,8,-,-,-
22f,9,9,9,9,8,-
22f,9,9,9,8,9,-
22f,9,8,8,-,-,-
22f,9,9,9,-,-,-
22f,10,8,8,-,-,-
22f,-,-,-,6,-,-
22f,-,-,-,S,-,-
