group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
22f,6,6,6,5,-,-,-,-
22f,5,7,6,O,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,5,7,8,7,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,7,6,7,6,-,-,-,-
22f,5,7,8,8,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,4,8,9,7,-,-,-,-
22f,6,9,9,8,-,-,-,-
22f,6,7,9,7,-,-,-,-
22f,7,7,8,7,-,-,-,-
22f,6,5,6,7,-,-,-,-
22f,7,6,8,7,-,-,-,-
22f,8,9,8,7,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,7,8,7,6,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,5,9,8,9,-,-,-,-
22f,5,7,10,8,-,-,-,-
22f,5,5,8,5,-,-,-,-
22f,7,7,-,9,-,-,-,-
22f,6,8,8,9,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-
22f,-,-,8,6,-,-,-,-
22f,-,O,S,-,-,-,-,-
