group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,5,7,5,6,7,7,-,6,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,8,8,8,7,7,7,-,6,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,7,8,7,5,7,7,-,7,-,8,-
22f,8,7,8,6,8,8,-,8,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,6,8,6,7,6,6,-,6,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,9,9,9,8,8,8,-,10,-,8,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,7,7,7,7,7,7,-,8,-,-,-
22f,8,6,8,7,7,7,-,8,-,-,-
22f,9,8,9,9,9,9,-,10,-,-,-
22f,7,7,7,7,9,9,-,8,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
22f,-,-,-,-,-,-,-,-,-,-,-
