group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
23a,9,9,9,-,-,-,-,-
23a,8,8,8,-,-,-,-,-
23a,7,7,5,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,8,8,7,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,7,7,7,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,9,9,9,-,-,-,-,-
23a,9,9,-,-,-,-,-,-
23a,9,9,7,-,-,-,-,-
23a,9,9,-,-,-,-,-,-
23a,9,9,-,-,-,-,-,-
23a,8,8,9,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,10,10,10,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,8,8,7,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,9,9,9,-,-,-,-,-
23a,8,8,9,-,-,-,-,-
23a,8,8,-,-,-,-,-,-
23a,9,9,9,-,-,-,-,-
23a,9,9,9,-,-,-,-,-
23a,9,9,9,-,-,-,-,-
23a,9,9,8,-,-,-,-,-
23a,9,9,-,-,-,-,-,-
