group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,9,6,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,10,7,-,-,-,-,-,-
23a,-,6,-,-,-,-,-,-
23a,8,7,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,10,8,-,-,-,-,-,-
23a,6,7,-,-,-,-,-,-
23a,-,6,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,7,7,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-
