group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
23b,7,7,-,-,-,-,-,-
23b,7,7,-,-,-,-,-,-
23b,7,7,-,-,-,-,-,-
23b,9,9,7,-,-,-,-,-
23b,9,9,8,-,-,-,-,-
23b,8,8,-,-,-,-,-,-
23b,7,7,8,-,-,-,-,-
23b,8,8,8,-,-,-,-,-
23b,7,7,-,-,-,-,-,-
23b,8,8,9,-,-,-,-,-
23b,9,9,9,-,-,-,-,-
23b,9,8,9,-,-,-,-,-
23b,9,9,-,-,-,-,-,-
23b,8,8,-,-,-,-,-,-
23b,9,9,10,-,-,-,-,-
23b,7,7,9,-,-,-,-,-
23b,9,9,-,-,-,-,-,-
23b,7,7,-,-,-,-,-,-
23b,7,7,-,-,-,-,-,-
23b,7,7,-,-,-,-,-,-
23b,8,8,8,-,-,-,-,-
23b,8,8,-,-,-,-,-,-
23b,6,6,8,-,-,-,-,-
23b,7,7,-,-,-,-,-,-
23b,8,8,8,-,-,-,-,-
23b,9,9,9,-,-,-,-,-
23b,9,9,-,-,-,-,-,-
23b,9,9,9,-,-,-,-,-
23b,9,9,8,-,-,-,-,-
23b,9,9,9,-,-,-,-,-
