group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
23b,7,8,8,-,-,-
23b,8,8,8,-,-,-
23b,8,8,8,-,-,-
23b,8,8,8,-,-,-
23b,8,8,8,-,-,-
23b,8,7,7,-,-,-
23b,8,9,9,-,-,-
23b,8,10,10,-,-,-
23b,8,9,9,-,-,-
23b,8,10,10,-,-,-
23b,9,8,8,-,-,-
23b,9,8,8,-,-,-
23b,9,9,9,-,-,-
23b,9,9,9,-,-,-
23b,9,9,9,-,-,-
23b,9,9,9,-,-,-
23b,9,9,9,-,-,-
23b,9,9,9,-,-,-
23b,9,9,9,-,-,-
23b,9,9,9,-,-,-
23b,9,8,8,-,-,-
23b,9,10,10,-,-,-
23b,9,10,10,-,-,-
23b,9,10,10,-,-,-
23b,9,10,10,-,-,-
23b,10,10,10,-,-,-
23b,10,10,10,-,-,-
23b,10,10,10,-,-,-
23b,10,9,9,-,-,-
23b,10,9,9,-,-,-
