group,lke01,lke02,lke03,lke04,lke05,lke06
23c,7,7,-,-,-,-
23c,7,7,-,-,-,-
23c,7,7,-,-,-,-
23c,7,7,-,-,-,-
23c,7,7,-,-,-,-
23c,7,7,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,9,9,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,7,7,-,-,-,-
23c,9,9,-,-,-,-
23c,7,7,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,9,9,-,-,-,-
23c,8,8,-,-,-,-
23c,8,8,-,-,-,-
23c,9,9,-,-,-,-
23c,8,8,-,-,-,-
23c,9,9,-,-,-,-
23c,9,9,-,-,-,-
23c,9,9,-,-,-,-
23c,10,10,-,-,-,-
23c,10,10,-,-,-,-
