group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
23c,4,K,-,-,-,-,-,-
23c,6,5,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,6,4,-,-,-,-,-,-
23c,10,7,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-
23c,9,5,-,-,-,-,-,-
23c,-,6,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,8,8,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,6,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-
