group,lke01,lke02,lke03,lke04,lke05,lke06
23d,6,6,-,-,-,-
23d,7,7,-,-,-,-
23d,8,8,-,-,-,-
23d,7,7,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,8,8,-,-,-,-
23d,10,10,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,8,8,-,-,-,-
23d,9,9,-,-,-,-
23d,8,8,-,-,-,-
23d,9,9,-,-,-,-
23d,10,10,-,-,-,-
23d,9,9,-,-,-,-
23d,10,10,-,-,-,-
23d,9,9,-,-,-,-
23d,10,10,-,-,-,-
23d,8,8,-,-,-,-
23d,9,9,-,-,-,-
23d,9,9,-,-,-,-
23d,10,10,-,-,-,-
23d,10,10,-,-,-,-
23d,10,10,-,-,-,-
23d,10,10,-,-,-,-
23d,10,10,-,-,-,-
