group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
23e,6,-,-,-,-,-
23e,7,-,-,-,-,-
23e,7,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,8,-,-,-,-,-
23e,9,-,-,-,-,-
23e,9,-,-,-,-,-
23e,9,-,-,-,-,-
23e,9,-,-,-,-,-
23e,9,-,-,-,-,-
23e,9,-,-,-,-,-
23e,9,-,-,-,-,-
23e,9,-,-,-,-,-
23e,10,-,-,-,-,-
23e,10,-,-,-,-,-
23e,10,-,-,-,-,-
23e,10,-,-,-,-,-
