group,lke01,lke02,lke03,lke04,lke05,lke06
23f,7,7,-,-,-,-
23f,8,8,-,-,-,-
23f,8,8,-,-,-,-
23f,9,9,-,-,-,-
23f,8,8,-,-,-,-
23f,9,9,-,-,-,-
23f,8,8,-,-,-,-
23f,8,8,-,-,-,-
23f,9,9,-,-,-,-
23f,9,9,-,-,-,-
23f,9,9,-,-,-,-
23f,7,7,-,-,-,-
23f,8,8,-,-,-,-
23f,9,9,-,-,-,-
23f,7,7,-,-,-,-
23f,8,8,-,-,-,-
23f,8,8,-,-,-,-
23f,8,8,-,-,-,-
23f,8,8,-,-,-,-
23f,9,9,-,5,-,-
23f,8,8,-,-,-,-
23f,9,9,-,-,-,-
23f,8,8,-,-,-,-
23f,9,9,-,-,-,-
23f,9,9,-,-,-,-
23f,8,8,-,-,-,-
23f,10,10,-,-,-,-
23f,9,9,-,-,-,-
23f,8,8,-,-,-,-
23f,-,-,8,-,-,-
