group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
23f,K,5,-,-,-,-,-,-
23f,6,6,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,8,7,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,7,7,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,4,5,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,6,O,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,6,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,8,6,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-
23f,6,6,-,-,-,-,-,-
23f,-,-,-,5,-,-,-,-
