group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,6,-,-,-,-,-,-,-,-,-
23f,-,8,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,8,-,-,-,-,-,-,-,-,-
23f,-,5,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,7,-,-,-,-,-,-,-,-,-
23f,-,6,-,-,-,-,-,-,-,-,-
23f,-,7,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,6,-,-,-,-,-,-,-,-,-
23f,-,7,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,8,-,-,-,-,-,-,-,-,-
23f,-,6,-,-,-,-,-,-,-,-,-
23f,-,7,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,8,-,-,-,-,-,-,-,-,-
23f,-,5,-,-,-,-,-,-,-,-,-
23f,-,9,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,8,-,-,-,-,-,-,-,-,-
23f,-,8,-,-,-,-,-,-,-,-,-
23f,-,5,-,-,-,-,-,-,-,-,-
23f,-,9,-,-,-,-,-,-,-,-,-
23f,-,9,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,-,-,-,-,-,-,-
23f,-,-,-,-,7,7,-,5,-,-,-
